hour_of_day,day_of_week,is_weekend,month,is_peak_hour,is_night,is_corridor,zone_event_density,junction_event_density,duration_hours,requires_road_closure,cause_vehicle_breakdown,cause_accident,cause_tree_fall,cause_road_damage,cause_waterlogging,cause_fire,cause_construction,cause_others,cause_other,congestion_score
17.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5
4.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4
6.0,5.0,1.0,11.0,0.0,0.0,0.0,0.1293916023993145,0.0010735373054213634,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.1
17.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0010735373054213634,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1
3.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0664095972579263,1.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8
6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.6
5.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2
18.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0
5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.00322061191626409,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7
18.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0
19.0,1.0,0.0,12.0,1.0,0.0,1.0,0.0664095972579263,0.0050098407586330294,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.9
19.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.7
19.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.2
19.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.7
19.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.4
19.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5
4.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1
19.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8
19.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8
22.0,4.0,0.0,1.0,0.0,0.0,0.0,0.04862896315338475,0.0010735373054213634,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.9
8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.4
19.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.9
6.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8
8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.8
